year,tea,sugar,peanuts,coffee,cocoa,wheat,rye,rice,corn,barley,pork,beef,lamb
1958,90.46590772,34.80970038,96.24325168,164.8933728,74.21978442,81.83791006,57.30447818,55.10260082,92.08095974,62.2406639,56.57204683,114.6998428,77.45674756
1959,89.02397785,29.29513988,86.44630293,125.5804942,60.81560381,77.55977966,55.71846704,49.80954234,89.134256,58.98491084,41.16141608,259.8091265,125.5305577
1960,88.60402632,30.49122367,88.64977892,122.7944132,46.45743324,77.22019048,48.38048414,46.28255691,82.64720878,56.71843349,47.39642636,270.7812035,172.2075237
1961,81.07681158,27.10425798,95.65939279,117.8808157,37.36680589,80.89519987,54.84618997,50.19820281,80.47043961,57.80561566,51.04670133,248.2001882,139.4299258
1962,81.9542861,27.80648949,95.45231648,108.3632597,35.35718062,79.7213585,50.84728098,55.50912043,79.58092507,62.54003877,49.69539521,256.9901485,130.8287849
1963,79.32043309,81.62938949,96.04517393,103.6357419,42.14201543,76.04834093,57.30667991,51.44480138,87.25820184,65.27588861,40.89501697,236.9752261,156.8379779
1964,76.14498845,55.53346651,94.77612716,128.1606187,38.07672978,63.92305556,54.45506023,48.84549714,85.89099426,67.54551065,39.98852295,295.0972287,171.4988317
1965,80.7832053,19.11156525,94.84852202,124.8342932,27.04177948,58.12785821,50.29725087,47.47353449,87.56643419,64.30189969,53.30549255,304.1963223,129.22187
1966,68.65494462,16.72910597,91.40977481,112.6827781,37.25515733,61.74191108,53.05716355,56.12271457,89.84948247,66.54312261,53.80261749,342.9748286,128.0292141
1967,63.80749141,17.17721867,89.62333398,101.903924,41.83618931,52.22240274,52.05039024,72.76086566,82.052342,65.51530267,45.94674129,339.4462743,133.0029921
1968,54.83659832,16.43718318,89.79050797,98.12027987,48.39476919,44.18036811,46.68823273,64.67254073,69.56155879,60.2771963,45.82399658,339.5822942,145.3166767
1969,50.47616159,26.25970109,88.07586407,94.16107445,57.19276067,43.55238114,44.7504228,55.50197699,71.39935076,58.1208182,57.34111798,363.1444063,144.8503358
1970,54.79220132,28.88417278,86.53533105,116.2673981,40.60104705,46.72360407,41.41356833,40.48637252,75.96919729,56.57163702,55.50604099,365.6845906,144.6966198
1971,53.52403358,33.3701888,88.15346271,96.43032393,31.02649482,45.52946977,36.0565465,35.37898018,71.66667548,58.40497558,44.29310771,361.7830924,133.3787606
1972,47.64000511,52.24173306,90.35032952,104.4207117,35.95034703,51.04378863,37.30908553,39.39186161,66.88305382,59.88815682,62.50890127,385.172843,173.0767609
1973,45.19828495,64.0085132,95.69868283,121.6914352,59.44338354,105.7651667,69.81492583,73.37143738,106.1680133,95.69769323,89.64361875,492.6341013,212.2234065
1974,56.51231418,181.0739026,95.28063143,115.8870273,73.9272361,109.4392368,82.67025649,120.7089288,142.4331733,109.7260032,69.86840011,349.2756333,195.7026145
1975,54.06894604,114.289677,95.59027944,105.4913328,54.0661784,74.79922278,71.21863257,74.17421848,112.7032912,91.31540884,88.81111858,268.4151549,186.110848
1976,53.13726124,61.0480537,92.23064459,217.6461811,83.93590533,62.89733016,70.48004448,49.06940208,100.0363097,81.68170993,73.19390598,302.360858,186.5175538
1977,82.18782268,40.27116755,90.97827996,335.8690379,146.0882367,49.43689061,55.22168005,49.42440401,77.88315309,65.8601668,65.8028507,270.6614502,190.2771252
1978,55.08105602,36.03900066,84.95019339,216.786169,121.9029015,57.22132183,49.57457058,62.13105788,76.34017765,70.24589599,71.84028206,357.0211346,228.1424895
1979,52.87122647,40.02835786,74.53715434,207.6452027,106.0047457,64.59328117,46.1207941,50.66109888,77.95318208,74.94769391,55.50048844,432.764676,221.55963
1980,51.33645046,104.5859429,80.00454229,165.7147615,73.83241708,60.26115503,52.06775088,57.88770137,79.67588523,79.15875188,47.69444524,364.8322413,237.0309366
1981,41.20917397,56.1188058,73.70298294,124.2436375,53.42873082,47.56905778,53.60443745,58.39048791,72.10863391,73.08805838,51.70809302,296.3238207,204.2457223
1982,40.76163028,26.24190736,45.70394968,126.0105139,42.01836802,38.77503819,40.40830257,33.43088239,52.57322637,55.03663613,71.46117214,269.6581817,167.0355643
1983,53.66451053,25.57351251,51.65721736,115.11723,49.72352277,40.48171414,35.39868055,30.56406356,67.19791695,59.33149501,55.91774921,266.7610187,131.4778938
1984,67.25221095,15.05458863,42.91476161,120.8680078,53.87439891,39.11513156,27.99137048,26.69732066,62.82137683,63.16005155,52.13047567,238.2449529,125.3876742
1985,41.44043622,11.34217224,33.472398,118.2539367,48.94868381,34.29437355,30.65282075,22.21941458,49.39893094,45.56618668,50.02179368,218.0083619,116.2609375
1986,38.59360098,16.6001163,48.31775947,154.2506865,44.11558483,30.69318203,22.08830514,19.63171962,37.02018253,36.17310927,53.9729957,207.8707708,133.2333448
1987,37.04713955,17.88684426,35.58691143,86.84512289,41.01159805,30.06909297,23.31288128,20.75545504,30.15275395,40.3600845,49.87256866,228.7139487,129.089739
1988,33.99775957,25.90604703,42.15878973,100.9968909,31.29302802,34.88008134,34.6100698,25.77145038,42.57045011,49.55996653,31.38325348,231.6981539,138.1960856
1989,37.50876806,31.02876589,35.1381684,75.82383628,23.38161167,36.42405119,26.99182281,26.58211651,41.68593565,50.51142308,24.68510541,225.6126477,126.9347229
1990,40.12300783,28.87630255,54.05267459,59.42843473,22.64119975,27.60665639,25.98109061,22.77252762,39.84066255,50.97551309,36.83331693,213.5618707,137.8401101
1991,31.32628259,19.7896799,48.43932802,54.17144261,20.49862257,26.97117626,26.24413435,23.70989314,37.4885371,47.91431048,31.28664924,212.9431409,116.0700243
1992,29.1431961,19.40581944,30.35803891,39.63422025,18.30950388,29.00107443,27.5616977,20.97918777,34.84624961,46.74483477,19.27553489,190.515273,128.1566811
1993,28.48328087,20.86039597,40.28337321,42.52372992,18.05796666,26.09137292,28.67206763,18.05470615,33.72299106,41.17588702,21.37788698,197.2590415,136.4380781
1994,25.66292207,24.57441566,34.33811829,87.90006075,22.00591984,26.98661558,29.60071759,19.99380564,34.08037209,40.8631649,18.22414331,171.415375,136.1410361
1995,24.89637023,26.20647669,31.82216305,86.115496340000007,21.95834515,33.83003455,30.91716829,23.147459,38.46351019,56.89160125,19.72817412,136.2644543,116.625074
1996,26.97466671,22.91545707,32.67873016,67.62809534,21.67314017,33.22091809,38.31470265,23.69342727,50.69707716,63.57725521,28.2228215,123.9039731,142.3963184
1997,32.71483706,21.30295867,32.82309513,102.2740655,23.56204359,24.22630236,37.96146026,20.72328147,35.23268678,50.50298152,21.73475822,125.8871727,143.3779362
1998,31.99341054,16.46338757,32.33046387,72.03431461,24.02693713,18.58730266,24.81980824,20.60473602,28.52502841,43.49689767,13.39960935,115.2864777,114.4233795
1999,28.13634745,11.30680043,26.70487641,54.14894805,15.92042651,15.12453347,22.13795698,16.4331447,24.37017672,37.99623916,12.76175129,120.4880479,106.2396007
2000,27.76651862,14.28730509,26.12073928,43.90475939,12.28875415,14.57596292,24.53165678,13.00765433,22.71141095,37.38788226,16.48445044,122.1826354,103.1187383
2001,22.99980983,14.66481629,25.07385767,30.53569451,14.09819379,15.60648692,26.23820682,10.72354877,22.53805281,44.21515303,16.60871679,130.9291214,111.4975403
2002,21.33637026,11.51222791,22.23723559,29.69902842,23.08759367,18.51230488,29.98427825,11.72543408,25.01785792,50.49174408,12.57791706,127.4062795,124.5244116
2003,21.0083881,11.58761006,28.2615963,30.29533734,22.23056692,18.31211683,25.87238566,11.92046675,25.64381198,47.4516528,13.89540936,117.1655816,143.1393371
2004,22.74315705,11.40864603,27.46736772,36.98594511,19.1677,18.45752803,27.69558818,14.30779164,27.29313652,43.68250574,17.99815023,144.8425245,165.0987017
2005,21.49513185,15.22142898,24.23165117,51.06340648,18.39926788,16.8025158,27.45354146,16.20531945,21.50000294,40.58152517,16.59408853,145.9163817,154.1181519
2006,23.66795518,22.04978156,23.95028941,49.27099446,18.44754368,19.52323567,26.75680385,16.55549037,24.05142734,48.21906577,15.16987683,137.5919434,135.7603044
2007,25.02901875,14.61553757,32.43902524,51.73622625,21.99729508,27.13167884,39.25918781,17.62873187,33.79663963,69.30449407,14.70189027,136.708896,134.7395737
2008,28.65390719,17.87566075,40.42496551,56.37039588,27.96421767,36.38041232,47.69355854,35.76266585,45.6631257,77.63517355,14.3770574,158.7151974,144.4189122
2009,32.36148775,25.43487992,28.82620933,58.2138679,31.45679078,24.12708597,37.33578801,30.20902527,35.5314687,49.85951183,12.44804553,133.8227596,135.1767923
2010,33.7200024,29.36061817,31.38151257,78.02552566,33.56580386,22.93143494,37.47819412,26.25089141,36.34175622,60.54763099,16.3462918,167.3663089,165.2699008
2011,33.09217533,34.75840285,49.43053999,104.6339868,30.95085646,32.30304952,56.05078631,26.97098898,56.19149841,76.78407384,18.95746208,195.6820114,199.9018226
2012,32.16940081,28.21606545,50.48001644,70.5194468,24.33900012,32.32941921,54.27865468,27.79116463,60.99773075,87.24094415,17.26645082,196.4715823,179.9151064
2013,31.3,22.83,31.50871977,51.98491983,24.44954284,30.63572898,55.77636783,24.48127049,55.4101712,72.32241965,17.78241249,190.3474175,164.4867984
2014,29.53,21.79,29.42,74.14,30.47,26.37,53.55846965,19.97,36.75,50.22,20.96,229.4920887,184.54
2015,29.17459997,17.08719034,28.12178484,58.71566875,30.96712084,22.00942719,51.52193848,17.67001995,32.904916,68.49298613,13.74763609,203.6673656,149.6822626
